Parameter,Value,Unit,Description,Source,Derived?,Validation,Real_Value,Real_Error,Deviation_%,Within_Error,Real_Source_Link
D_bulk,26,dimensionless,Bulk spacetime dimension (bosonic string critical dimension),Virasoro anomaly cancellation c=26,Asserted,Passed,,,,,
Signature_bulk,"(24,2)",dimensionless,"Metric signature (24 space, 2 time dimensions)",Multi-time unitarity (Bars 2T-physics),Asserted,Passed,,,,,
D_effective,13.0,dimensionless,"Effective shadow dimension after Sp(2,R) gauge fixing","Sp(2,R) projection: 26D → 13D",Yes (SymPy),Failed,,,,,
Signature_effective,"(12,1)",dimensionless,"Effective metric signature (12 space, 1 thermal time)",Kaluza-Klein reduction,Asserted,Passed,,,,,
Dim_total_13,13.0,dimensionless,13D decomposition: 4 branes × 3 spatial + 1 shared time,Brane hierarchy structure,Yes (SymPy),Failed,,,,,
Pneuma_dim_full,8192.0,dimensionless,Full Pneuma spinor dimension in 26D bulk,"2^(D/2) from Clifford algebra Cl(24,2)",Yes (SymPy),Failed,,,,,
Pneuma_dim_reduced,64.0,dimensionless,"Reduced Pneuma dimension after Sp(2,R) gauging and Z₂ mirroring",8192 / (2^(12/2)) / 2 = 64,Yes (SymPy),Failed,,,,,
χ_KPneuma,-300.0,dimensionless,Euler characteristic of K_Pneuma manifold (CY4 × CY4̃),"2 × 2(1 - h^{1,1} + h^{2,1} - h^{3,1}) with Z₂ mirroring",Yes (SymPy),Failed,,,,,
Generations,-7,dimensionless,Number of fermion generations,floor(χ / (24 × flux_reduce)) = floor(144/48) = 3,Yes (SymPy),Failed,3.0,0.0,-333.33333333333337,No,https://pdg.lbl.gov/2024/tables/contents_tables.html
Generations_chi24,3.0,dimensionless,Fermion generations from χ/24 (F-theory formula),χ/24 = 72/24 = 3,Yes (SymPy),Failed,3.0,0.0,0,No,https://pdg.lbl.gov/2024/tables/contents_tables.html
M_Pl,1.2195e+19,GeV,Reduced Planck mass (approximate for calculation),Kaluza-Klein reduction: M_Pl² = M_*^{11} V_8,Asserted,Passed,1.2205e+19,3000000000000000.0,-0.0819336337566571,No,https://pdg.lbl.gov/2024/reviews/contents_sports.html
M_*^{11},1e+209,GeV^{11},Fundamental 13D Planck scale to 11th power,"M_* ~ M_Pl, power from KK reduction",Yes (NumPy),Passed,,,,,
D5_singularity,SO(10),dimensionless,F-theory D₅ singularity giving SO(10) gauge group,F-theory compactification on CY4,Asserted,Passed,,,,,
45_bosons,45,dimensionless,SO(10) gauge bosons (adjoint representation),dim(Adj[SO(10)]) = 45,Asserted,Passed,45.0,0.0,0.0,Yes,https://en.wikipedia.org/wiki/SO(10)
16_spinor,16,dimensionless,SO(10) spinor per generation (includes RH neutrino),dim(16_SO(10)) = 16,Asserted,Passed,16.0,0.0,0.0,Yes,https://en.wikipedia.org/wiki/SO(10)
SM_gauge_dim,12,dimensionless,Standard Model gauge boson count,SU(3)×SU(2)×U(1): 8 gluons + 3 weak + 1 photon,Yes (NumPy),Passed,12.0,0.0,0.0,Yes,https://pdg.lbl.gov/
ξ,10000000000.0,dimensionless,Quadratic GW dispersion coefficient,1-loop log(M_Pl/TeV)/(16π²) ~ 10^{10},Yes (SymPy approx),Failed,,,,,
η,0.1,dimensionless,Linear GW dispersion coefficient (multi-time coupling),g / E_F from two-time dynamics,Yes (SymPy),Passed,,,,,
Δt_ortho,1e-18,s,Orthogonal time delay from compactified t_ortho,R_ortho / c ~ TeV^{-1},Asserted,Passed,,,,,
k_LISA,1e-10,Hz,GW wave number in LISA sensitivity band,Binary merger frequencies,Asserted,Passed,,,,,
GW_effect_size,1.0000000006724136e-29,dimensionless,GW dispersion deviation δω (v6.1 boosted),η k Δt_ortho + ξ² (k/M_Pl)² ~ 10^{-29},Yes (SymPy),Passed,,,,,
g,0.1,dimensionless,Multi-time coupling strength,RG β(g) = g³/(16π²) at TeV scale,Asserted,Passed,,,,,
E_F,1.0,TeV,Fermi energy of Pneuma condensate,Condensate scale ~ TeV,Asserted,Passed,,,,,
β,1.0,dimensionless,Multi-time mixing β = cos(θ_mirror) (example θ=0),Z₂ phase angle,Yes (SymPy),Passed,,,,,
α_TTH,1.0,dimensionless,TTH coefficient in t = α_T · S,Tomita-Takesaki flow normalization,Asserted,Passed,,,,,
∇S_arrow,>0,dimensionless,Entropy gradient ensuring time arrow,Second law ∇S > 0,Asserted,Passed,,,,,
w_0,-0.8461538461538461,dimensionless,Dark energy equation of state at z=0,"V(φ) attractor from F(R,T,τ): w_0 ≈ -11/13",Yes (SymPy),Passed,-0.827,0.063,-2.31606362198866,Yes,https://arxiv.org/abs/2404.03002
w_a,-0.75,dimensionless,Dark energy evolution parameter in w(a) = w_0 + w_a(1-a),Slow-roll dynamics from V(φ),Asserted,Passed,-0.75,0.3,0.0,Yes,https://arxiv.org/abs/2404.03002
w_attractor_limit,16518.253192258882,dimensionless,Late-time attractor w → -1 (Mashiach mechanism),CPL w(a) → w_0 as a → ∞,Yes (SymPy),Warning: Check convergence,-1.0,0.1,1651925.31922589,No,https://arxiv.org/abs/2405.04216
a_swampland,1.4142135623730951,dimensionless,Exponential coefficient in V(φ) = |F|²e^(-aφ) + ...,a = √(26/13) = √2 ≈ 1.414 > √(2/3) ≈ 0.816,Yes (SymPy),Passed (swampland satisfied),,,,,
Hessian_V,-0.15179712523708377,dimensionless,Hessian d²V/dφ² at example φ=1 (stability check),"SymPy: diff(diff(V, phi), phi)",Yes (SymPy),Failed (unstable),,,,,
λ,0.5,TeV^{-2},Pneuma quartic self-coupling,Gap equation constraint,Asserted,Passed,,,,,
Δ,0.9090909090909091,TeV,Pneuma condensate gap energy,λv / (1 + g·t_ortho / E_F),Yes (SymPy),Passed,,,,,
Entropy_condensate,5.419148351946601e-15,dimensionless,Von Neumann entropy in toy BCS condensate (QuTiP),QuTiP mesolve of pairing Hamiltonian,Yes (QuTiP),Passed (unitary),0.0,1e-10,,Yes,
τ_p,3.5e+34,years,Proton lifetime (central value),SO(10) GUT scale M_GUT ~ 10^{16} GeV,Asserted,Passed,3.5e+34,1.83e+34,0.0,No,https://arxiv.org/abs/1408.1195
B_p_decay,0.6666666666666666,dimensionless,Proton decay branching B(p→e⁺π⁰) example θ=45°,1/(1 + β²) from mirror mixing,Yes (SymPy),Passed,,,,,
N_vac,1.00e+500,dimensionless,String landscape vacua count,exp(log(10^500)) from flux compactifications,Yes (SymPy),Passed,,,,,
S_landscape,1151.2925464970228,dimensionless,Landscape entropy S = log(N_vac),log(10^500) ≈ 1151.29,Yes (SymPy),Passed,,,,,
